name,value
Canvas Student,2147317
Google Classroom,2113858
ClassDojo,1889365
Duolingo - Language Lessons,1246520
Remind: School Communication,1009309
ABCmouse.com,599236
Quizlet: Learn with Flashcards,527661
PictureThis - Plant Identifier,502630
Photomath,491503
Epic - Kids' Books & Reading,451933
