App_Name,Content_Rating,Released,Free,Maximum_Installs
Tiles Hop: EDM Rush!,Teen,"Jan 16, 2018",True,361997020
Beat Fire - EDM Music & Gun Sounds,Everyone,"Nov 5, 2019",True,40794816
Beat Blade: Dash Dance,Mature 17+,"Mar 28, 2020",True,25292501
DEEMO,Everyone,"Dec 26, 2013",True,7733726
VOEZ,Everyone,"Jun 1, 2016",True,4793390
ラブライブ！スクールアイドルフェスティバル（スクフェス） - 大人気リズムゲーム,Everyone,,True,4246989
アイドルマスター シンデレラガールズ スターライトステージ,Teen,,True,3048327
BanG Dream! Girls Band Party!,Everyone,"Apr 3, 2018",True,2817263
Cytus II,Everyone,"Mar 7, 2018",False,2238144
Lost in Harmony,Everyone,"Feb 3, 2016",True,1546678
