name,value
Uber Eats: Food Delivery,169142236
Zomato - Online Food Delivery & Restaurant Reviews,132241338
Swiggy Food Order | Online Grocery | Delivery App,96584381
"Yelp: Find Food, Delivery & Services Nearby",54298839
Cookpad - Create your own Recipes,26378655
배달요기요 - 기다림 없는 맛집 배달앱,24429792
クックパッド - みんなが作ってる料理のレシピで、ご飯をおいしく簡単に,20898372
Deliveroo: Takeaway food,19301029
Tasty,11984332
Korean Food Recipes - 10k Recipes,8311614
