App_Name,Content_Rating,Released,Free,Reviews
Aminal Stickers,4+,2016-10-06T00:29:04Z,True,4105
Swapper: Reverse Text Bubbles,4+,2020-03-13T07:00:00Z,True,3092
Mochj Cat,4+,2019-07-16T07:00:00Z,True,3074
JoJo Siwa Stickers,4+,2017-08-09T17:34:12Z,True,1720
Stickers for photos and text,9+,2016-10-03T19:08:04Z,True,1397
Tap Anime Color,4+,2020-08-14T07:00:00Z,True,1338
Superstar BT21 #1 Unveiled,4+,2017-10-12T02:01:15Z,True,1074
Super Mario Run Stickers,4+,2016-09-13T07:52:17Z,True,927
Emojidom Stickers & Smileys,12+,2012-11-12T17:37:41Z,True,908
Cute Chubby Kitten Stickers,4+,2017-10-03T13:51:39Z,True,808
