name,value
Subway Surfers,1704495994
Fruit Ninja®,500306392
Jetpack Joyride,265223520
Block Craft 3D: Building Simulator Games For Free,235083799
Cooking Fever – Restaurant Game,223149655
Hungry Shark World,109509396
Dan the Man: Action Platformer,45442945
Minecraft,36183322
Cooking Craze: The Global Kitchen Cooking Game,27776561
Hungry Dragon,21182977
