App_Name,Content_Rating,Released,Free,Maximum_Installs
Google News - Top world & local news headlines,Teen,"Jun 27, 2012",True,2961820154
Briefing,Everyone 10+,"May 13, 2015",True,1400441959
"Flipboard - Latest News, Top Stories & Lifestyle",Everyone 10+,"Jun 21, 2012",True,794295006
upday for Samsung - Zeropage,Everyone 10+,,True,187089891
"Dailyhunt - Latest Local & National News, Videos",Teen,"Sep 28, 2010",True,168615253
Opera News: Breaking Local & US Headlines,Teen,"Jul 24, 2018",True,120143968
News Suite by Sony,Everyone,"Mar 27, 2012",True,99230961
Aaj Tak Live TV News - Latest Hindi India News App,Everyone 10+,"May 10, 2012",True,77249386
ZINIO - Magazine Newsstand,Teen,"May 30, 2011",True,63160208
"India News, Latest News App, Live News Headlines",Everyone,"Mar 12, 2015",True,53236722
