App_Name,Content_Rating,Released,Free,Maximum_Installs
Pinterest,Teen,"Aug 14, 2012",True,615144909
SmartThings,Everyone,"Apr 17, 2017",True,573242377
"Tinder - Dating, Make Friends and Meet New People",Mature 17+,"Jul 15, 2013",True,277159841
Samsung Pay,Everyone,"Oct 17, 2015",True,242571447
Google Home,Everyone,"Jul 18, 2013",True,203258753
Samsung Members v1,Everyone,"Apr 18, 2013",True,128909552
Samsung Gift Indonesia,Everyone,,True,108900475
Life360: Family Locator & GPS Tracker for Safety,Everyone,"Apr 7, 2010",True,89652214
"Muslim Pro: Athan, Quran, Prayer Times Qibla Islam",Everyone,"Apr 12, 2011",True,82107740
happn – Local dating app,Mature 17+,"Jul 15, 2014",True,75225007
