name,value
Wattpad - Read & Write Stories,190657472
Scribd: Audiobooks & ebooks,37104229
Kobo Books - eBooks & Audiobooks,23837841
Goodreads,17901586
"Libby, by OverDrive",5654256
"Inkitt: Books, Novels, Stories",2434719
Knots 3D,970368
Lunescope Pro 🔭🌘 Moon & Eclipse Viewer,205753
