App_Name,Content_Rating,Released,Free,Maximum_Installs
Flight Pilot Simulator 3D Free,Everyone,"Feb 23, 2015",True,126684225
Shadow Fight 3 - RPG fighting game,Everyone 10+,"Nov 16, 2017",True,109489960
MARVEL Future Fight,Teen,"Apr 29, 2015",True,95239736
Star Wars™: Galaxy of Heroes,Everyone 10+,"Nov 9, 2015",True,54238932
DC Legends: Fight Superheroes,Teen,"Nov 2, 2016",True,34067228
Darkness Rises,Teen,"Jun 20, 2018",True,29018346
Idle Heroes,Everyone 10+,"Jun 22, 2016",True,25855925
Kritika: The White Knights,Teen,"May 29, 2014",True,25135365
Eternium,Teen,"Jun 25, 2014",True,20070164
Magic Rampage,Teen,"Mar 4, 2015",True,16532657
