App_Name,Content_Rating,Released,Free,Reviews
GoodRx: Prescription Coupons,12+,2011-12-07T20:47:44Z,True,584872
Teladoc | Online Doctor Visits,12+,2013-06-11T17:50:03Z,True,340621
"Leafly: Find weed, order weed",17+,2011-03-03T00:12:32Z,True,229837
"Weedmaps: Cannabis, Weed & CBD",17+,2010-01-28T00:36:48Z,True,207447
Baby Tracker - Newborn Log,4+,2014-03-12T22:24:07Z,True,150494
PulsePoint Respond,12+,2012-02-13T23:56:06Z,True,122218
Doximity,4+,2010-09-29T21:45:21Z,True,117953
Doctor On Demand,17+,2013-10-01T07:00:00Z,True,102871
"WebMD: Symptoms, Rx, & Doctors",17+,2008-10-31T02:12:35Z,True,95494
DreamMapper,4+,2012-09-30T07:00:00Z,True,92291
