App_Name,Content_Rating,Released,Free,Maximum_Installs
8 Ball Pool,Everyone,"Jan 23, 2013",True,747308036
FIFA Soccer,Everyone,"Oct 10, 2016",True,259164378
Dream League Soccer,Everyone,"Apr 7, 2016",True,218519220
eFootball PES 2021,Everyone,"May 23, 2017",True,100156361
Head Ball 2 - Online Soccer Game,Everyone,"Apr 16, 2018",True,98088317
NBA LIVE Mobile Basketball,Everyone,"Jul 5, 2016",True,94930519
Soccer Stars,Everyone,"Jun 11, 2014",True,86312400
ESPN,Everyone 10+,"Jun 15, 2010",True,58957102
Badminton League,Everyone,"Nov 2, 2017",True,57052958
Tennis Clash: 1v1 Free Online Sports Game,Everyone,"Oct 23, 2019",True,50134682
