App_Name,Content_Rating,Released,Free,Reviews
"YouTube: Watch, Listen, Stream",17+,2012-09-11T07:23:19Z,True,22685334
Instagram,12+,2010-10-06T08:12:41Z,True,21839585
Twitch: Live Game Streaming,17+,2011-10-26T07:00:00Z,True,1516630
PicCollage: Photo Layout Edits,12+,2011-07-13T21:30:34Z,True,1381055
InShot - Video Editor,4+,2015-06-11T17:51:54Z,True,1362232
FaceApp - AI Face Editor,9+,2017-01-24T14:13:07Z,True,1187859
Snapchat,12+,2011-07-13T23:51:40Z,True,903284
"Canva: Design, Photo & Video",4+,2014-10-15T10:23:37Z,True,823792
Private Photo Vault - Pic Safe,17+,2011-02-08T23:05:06Z,True,699618
Photoshop Express Photo Editor,4+,2009-10-09T06:48:57Z,True,622506
