App_Name,Content_Rating,Released,Free,Reviews
Google Maps,4+,2012-12-13T04:21:00Z,True,4132208
Waze Navigation & Live Traffic,4+,2009-08-01T21:14:40Z,True,2995938
ParkMobile - Find Parking,4+,2010-04-04T19:44:57Z,True,1201057
Transit • Subway & Bus Times,4+,2012-06-22T00:29:13Z,True,128894
SpotHero: #1 Rated Parking App,4+,2012-07-01T07:00:00Z,True,115771
Exxon Mobil Rewards+,4+,2013-07-31T05:47:28Z,True,97302
ParkWhiz - #1 Parking App,4+,2013-01-29T01:28:24Z,True,92475
Radarbot: Speed Cameras & GPS,4+,2016-09-04T04:10:49Z,True,89889
New York Subway MTA Map,4+,2010-05-04T06:36:37Z,True,78414
Avenza Maps: Offline Mapping,4+,2010-09-19T07:00:00Z,True,78075
