App_Name,Content_Rating,Released,Free,Maximum_Installs
Block Puzzle Jewel,Everyone,"Jan 29, 2016",True,274250384
Sand Balls - Puzzle Game,Everyone,"Jul 19, 2019",True,227806096
Happy Glass,Everyone,"Aug 28, 2018",True,222711248
Fishdom,Everyone,"Mar 2, 2016",True,220780998
Cut the Rope,Everyone,"Mar 27, 2012",True,216636194
Brain Out – Can you pass it?,Everyone 10+,"Sep 17, 2019",True,215410684
Roll the Ball® - slide puzzle,Everyone,"Mar 13, 2015",True,207585531
Flow Free,Everyone,"Jun 29, 2012",True,202401438
Shoot Bubble Deluxe,Everyone 10+,"Apr 28, 2011",True,177516697
Rescue Cut - Rope Puzzle,Teen,"Oct 17, 2019",True,168269660
