name,value
Solitaire,129283628
Callbreak Multiplayer,86123846
Solitaire,86103506
Zynga Poker ™: Free Texas Holdem Online Card Games,83255897
UNO!™,74010135
World Series of Poker WSOP Texas Holdem Poker,56003839
Solitaire,53787481
Yu-Gi-Oh! Duel Links,53580651
Hearthstone,50021351
Spider Solitaire,42034116
