App_Name,Content_Rating,Released,Free,Maximum_Installs
Google Play Games,Teen,"Jul 24, 2013",True,4605543029
Netflix,Teen,"May 5, 2011",True,1437250170
Mi Video - Watch & download videos for free,Teen,,True,804115328
Hotstar,Teen,"Sep 7, 2017",True,523641463
HUAWEI Video,Teen,"Mar 18, 2020",True,450787692
Talking Tom Cat 2,Everyone 10+,"Aug 22, 2011",True,390576230
Amazon Prime Video,Teen,"Aug 28, 2017",True,353354827
"JioTV – News, Movies, Entertainment, LIVE TV",Everyone,"Sep 13, 2016",True,328894390
YouTube Kids,Everyone,"Feb 23, 2015",True,266742066
Talking Ginger,Everyone,"Sep 15, 2012",True,247683986
