App_Name,Content_Rating,Released,Free,Maximum_Installs
Samsung Health,Everyone,"Apr 7, 2015",True,1341624888
Huawei Health,Everyone,"Mar 15, 2017",True,422224933
Aarogya Setu,Everyone,"Apr 11, 2020",True,160870492
Period Tracker - Period Calendar Ovulation Tracker,Everyone,"Mar 16, 2012",True,148610927
Home Workout - No Equipment,Everyone,"Nov 8, 2017",True,139758150
Six Pack in 30 Days - Abs Workout,Teen,"Jan 9, 2018",True,105819808
Calorie Counter - MyFitnessPal,Everyone,"Apr 26, 2010",True,93437098
Google Fit: Health and Activity Tracking,Everyone,"Oct 28, 2014",True,89952759
Mi Fit,Everyone,"Oct 7, 2014",True,89384354
Lose Weight at Home - Home Workout in 30 Days,Everyone,"Jul 31, 2017",True,79605574
