App_Name,Content_Rating,Released,Free,Maximum_Installs
Ludo King™,Everyone,"Dec 17, 2016",True,589524427
Chess,Everyone,"Jun 25, 2015",True,220484354
Paint By Number - Coloring Book & Color by Number,Everyone 10+,"Aug 10, 2018",True,135843307
Happy Color™ – Color by Number. Coloring games.,Everyone,"Jan 24, 2018",True,128743102
Checkers,Everyone,"May 18, 2015",True,105463113
Ludo Club - Fun Dice Game,Everyone,"Sep 6, 2017",True,102457788
Ludo SuperStar,Teen,"Aug 15, 2017",True,100542807
Checkers,Everyone,"Jan 5, 2015",True,99745657
Chess Free,Everyone,"Aug 26, 2010",True,90377390
Parchisi STAR Online,Teen,"Feb 17, 2017",True,83732430
