name,value
Uber - Request a ride,638806478
"Waze - GPS, Maps, Traffic Alerts & Live Navigation",378234324
Grab Superapp,178625683
"Ola, Safe and affordable rides",126466815
"2GIS: directory, map, navigator without internet",93599023
Moovit: All Local Transit & Mobility Options,90803098
Sygic GPS Navigation & Offline Maps,84594576
Yandex Go — taxi and delivery,81134494
99 - Private Driver and Taxi,80512114
inDriver — Better than a taxi,76090236
