App_Name,Content_Rating,Released,Free,Maximum_Installs
Uber Eats: Food Delivery,Everyone,"Feb 29, 2016",True,169142236
Zomato - Online Food Delivery & Restaurant Reviews,Everyone,"Jan 10, 2011",True,132241338
Swiggy Food Order | Online Grocery | Delivery App,Everyone,"Jun 16, 2015",True,96584381
"Yelp: Find Food, Delivery & Services Nearby",Teen,,True,54298839
Cookpad - Create your own Recipes,Teen,"Sep 4, 2010",True,26378655
배달요기요 - 기다림 없는 맛집 배달앱,Everyone,"Aug 31, 2012",True,24429792
クックパッド - みんなが作ってる料理のレシピで、ご飯をおいしく簡単に,Everyone,"Jan 14, 2011",True,20898372
Deliveroo: Takeaway food,Everyone,"May 27, 2016",True,19301029
Tasty,Everyone,"Aug 14, 2018",True,11984332
Korean Food Recipes - 10k Recipes,Everyone,"Jul 10, 2011",True,8311614
