name,value
Aminal Stickers,4105
Swapper: Reverse Text Bubbles,3092
Mochj Cat,3074
JoJo Siwa Stickers,1720
Stickers for photos and text,1397
Tap Anime Color,1338
Superstar BT21 #1 Unveiled,1074
Super Mario Run Stickers,927
Emojidom Stickers & Smileys,908
Cute Chubby Kitten Stickers,808
