App_Name,Content_Rating,Released,Free,Maximum_Installs
Roblox,Everyone 10+,"Jul 15, 2014",True,427633153
Pokémon GO,Everyone,"Jul 6, 2016",True,404699958
Criminal Case,Teen,"Apr 15, 2015",True,163379217
Kiloblocks Lite,Everyone,"Jun 17, 2014",True,131405508
FPS Commando Secret Mission - Free Shooting Games,Teen,"Mar 9, 2020",True,130106307
Super Bob's World: Jungle Adventure- Free Run Game,Everyone 10+,"Jun 26, 2019",True,119434701
PK XD - Explore and Play with your Friends!,Everyone 10+,"Jul 12, 2019",True,114150310
Super Bino Go: New Free Adventure Jungle Jump Game,Everyone,"Dec 18, 2018",True,108755528
Street Chaser,Teen,"Oct 10, 2017",True,94276305
Benji Bananas,Everyone,"Feb 24, 2013",True,91901465
