App_Name,Content_Rating,Released,Free,Reviews
DoorDash - Food Delivery,12+,2013-10-10T19:46:20Z,True,12517538
Domino's Pizza USA,4+,2011-06-08T00:37:24Z,True,5019198
Uber Eats: Food Delivery,12+,2016-03-01T07:53:50Z,True,4228103
Starbucks,4+,2009-09-23T05:33:59Z,True,3913964
Grubhub: Local Food Delivery,4+,2009-02-04T03:37:30Z,True,3196793
Pizza Hut - Delivery & Takeout,12+,2009-07-08T21:33:17Z,True,2605202
OpenTable,4+,2008-11-15T07:25:55Z,True,2477913
Instacart: Grocery deliveries,12+,2012-08-17T07:00:00Z,True,2031137
Chick-fil-A,4+,2011-12-16T21:48:58Z,True,1947986
Postmates - Fast Delivery,12+,2012-04-11T07:00:00Z,True,1724188
