App_Name,Content_Rating,Released,Free,Reviews
Google Drive,4+,2012-06-28T17:40:50Z,True,4371475
Yahoo Mail - Organized Email,17+,2012-12-11T04:22:39Z,True,2678685
HP Smart,4+,2011-10-19T03:50:49Z,True,2228662
"Google Docs: Sync, Edit, Share",4+,2014-04-30T16:02:23Z,True,1567607
Microsoft Word,4+,2014-03-27T19:38:37Z,True,1317398
VPN - Super Unlimited Proxy,4+,2018-05-15T11:50:11Z,True,1233172
Google Sheets,4+,2014-04-30T16:04:38Z,True,917573
CamScanner-PDF Scanner App,4+,2010-08-28T06:03:21Z,True,793314
Microsoft Excel,4+,2014-03-27T19:41:57Z,True,684546
Documents－File，Web Browser，PDF,17+,2010-04-01T20:43:11Z,True,449017
