name,value
UNO!™,74010135
Yu-Gi-Oh! Duel Links,53580651
Hearthstone,50021351
Legends of Runeterra,10360384
Shadowverse CCG,4002687
Card Thief,2322224
Dragon Chronicles - Strategy Card Battle,912373
Solitaire : Cooking Tower,808982
Exploding Kittens® - Official,679835
Miracle Merchant,635361
