App_Name,Content_Rating,Released,Free,Maximum_Installs
"Google Play Books - Ebooks, Audiobooks, and Comics",Teen,"Dec 6, 2010",True,3202676731
Amazon Kindle,Teen,"Jun 28, 2010",True,373230108
Wattpad - Read & Write Stories,Teen,,True,190657472
"Audible: audiobooks, podcasts & audio stories",Teen,"Aug 12, 2010",True,180512055
"YouVersion Bible App Free, Audio, Offline, Daily",Teen,,True,179730560
네이버 - NAVER,Everyone,"Feb 25, 2010",True,96769732
Oxford Dictionary of English,Everyone,"Mar 28, 2013",True,70311466
Sky Map,Everyone,,True,62660868
S LIME,Everyone,,True,62193941
Wikipedia,Everyone,"Jan 13, 2012",True,54045625
