App_Name,Content_Rating,Released,Free,Reviews
TikTok,12+,2014-04-02T22:44:45Z,True,10598509
Amazon Prime Video,12+,2012-07-31T07:00:00Z,True,2498603
Fandango Movie Tickets & Times,4+,2009-03-27T02:07:57Z,True,1785601
"Ticketmaster－Buy, Sell Tickets",4+,2012-02-23T02:09:55Z,True,1660632
YouTube Kids,4+,2015-02-23T15:43:34Z,True,1555165
Hulu: Watch TV series & movies,12+,2010-06-29T18:39:25Z,True,1386719
Roku - Official Remote Control,12+,2011-12-15T08:00:00Z,True,1321983
StubHub: Event Tickets,4+,2010-06-02T01:57:23Z,True,1227369
DIRECTV,12+,2009-03-30T07:00:00Z,True,1172393
Sandbox - Pixel Art Coloring,4+,2017-06-03T04:23:55Z,True,856250
