App_Name,Content_Rating,Released,Free,Maximum_Installs
Netflix,Teen,"May 5, 2011",True,1437250170
Hotstar,Teen,"Sep 7, 2017",True,523641463
iflix - Movies & TV Series,Teen,"May 10, 2015",True,82606389
SketchBook - draw and paint,Everyone,"Oct 8, 2014",True,60090094
Nimo TV - Live Game Streaming,Everyone 10+,"Jan 12, 2019",True,59375810
"Viki: Stream Asian Drama, Movies and TV Shows",Teen,"Mar 4, 2012",True,41903321
Meme Generator Free,Mature 17+,"Sep 6, 2011",True,37901832
Coloring Book for Me & Mandala,Everyone,"Dec 8, 2016",True,33995555
"MEGOGO - TV, movies, cartoons and audiobooks",Teen,"Sep 20, 2012",True,18229104
Eventbrite - Discover popular events & nearby fun,Everyone,"Jan 25, 2012",True,16779752
