name,value
WEBTOON,85170436
GANMA! (ガンマ)　話題の漫画が盛りだくさん！無料で全話を読めるオリジナル連載マンガも！,5011882
マンガほっと - 人気・名作マンガが毎日読める漫画アプリ,506022
