App_Name,Content_Rating,Released,Free,Reviews
Amazon Shopping,4+,2008-12-03T08:00:00Z,True,4349737
OfferUp - Buy. Sell. Letgo.,4+,2011-10-19T02:28:25Z,True,4047742
Target,4+,2008-11-25T01:35:22Z,True,3749025
Walmart - Shopping & Grocery,4+,2009-11-02T08:00:00Z,True,3497300
Walgreens,12+,2009-10-27T00:10:29Z,True,3240619
Etsy: Custom & Creative Goods,4+,2011-11-16T16:40:25Z,True,2670722
Shop: package & order tracker,4+,2017-11-16T04:26:51Z,True,2350014
Wish - Shopping Made Fun,12+,2012-06-14T23:29:05Z,True,2200858
Fetch Rewards,12+,2016-12-07T22:45:08Z,True,1607204
Macy's,4+,2009-12-14T05:51:08Z,True,1461437
