name,value
Uber Eats: Food Delivery,169142236
Zomato - Online Food Delivery & Restaurant Reviews,132241338
Swiggy Food Order | Online Grocery | Delivery App,96584381
foodpanda - Local Food & Grocery Delivery,73637743
McDonald's,72204011
iFood Delivery de Comida e Mercado,70360304
"Yelp: Find Food, Delivery & Services Nearby",54298839
Rappi,47530692
McDonald's App - Latinoamérica,41635281
Foursquare City Guide,41552450
