App_Name,Content_Rating,Released,Free,Maximum_Installs
CodyCross: Crossword Puzzles,Everyone,"Apr 5, 2017",True,80312695
Word Cookies!®,Everyone,"Dec 8, 2016",True,44348578
Palabras Cruz,Everyone,"Dec 4, 2017",True,28680938
Words With Friends 2 - Board Games & Word Puzzles,Everyone,"Nov 7, 2017",True,27779220
Word Cross,Everyone,"Oct 30, 2017",True,25017095
WordBrain - Free classic word puzzle game,Everyone,"May 5, 2015",True,17497354
Mots Croisés,Everyone,"Nov 28, 2017",True,5697334
Wort Kreuz,Everyone,"Nov 30, 2017",True,2577980
BAIKOH: Words & Brain Challenges,Everyone,"Sep 5, 2016",True,2574481
Parole Croce,Everyone,"Dec 4, 2017",True,2066392
