App_Name,Content_Rating,Released,Free,Maximum_Installs
Subway Surfers,Everyone 10+,"Sep 20, 2012",True,1704495994
Fruit Ninja®,Everyone,"Jul 20, 2011",True,500306392
Jetpack Joyride,Everyone 10+,"Sep 27, 2012",True,265223520
Block Craft 3D: Building Simulator Games For Free,Teen,"Aug 24, 2016",True,235083799
Cooking Fever – Restaurant Game,Everyone,"Feb 25, 2015",True,223149655
Hungry Shark World,Teen,"May 4, 2016",True,109509396
Dan the Man: Action Platformer,Teen,"Oct 4, 2016",True,45442945
Minecraft,Everyone 10+,"Aug 15, 2011",False,36183322
Cooking Craze: The Global Kitchen Cooking Game,Everyone,"Jun 26, 2017",True,27776561
Hungry Dragon,Teen,"Aug 29, 2018",True,21182977
