App_Name,Content_Rating,Released,Free,Maximum_Installs
Wish - Shopping Made Fun,Teen,"Jul 26, 2012",True,581776749
AliExpress,Teen,"Sep 27, 2012",True,499047189
"Amazon Shopping - Search, Find, Ship, and Save",Teen,"Dec 10, 2014",True,480460960
Flipkart Online Shopping App,Teen,"Jul 2, 2011",True,357436703
"eBay: Buy, sell, and save on brands you love",Teen,"Feb 17, 2010",True,302087728
Lazada - #1 Online Shopping App,Everyone,"Jun 8, 2013",True,274088740
Mercado Libre: compra fácil y rápido,Everyone,"Sep 7, 2011",True,229086634
SHEIN-Fashion Shopping Online,Teen,"Mar 18, 2014",True,205104993
Club Factory - Online Shopping App,Everyone,"Dec 28, 2015",True,167176298
Alibaba.com - Leading online B2B Trade Marketplace,Everyone,"Oct 17, 2012",True,166219012
