group,variable,value
0,0.0,989
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,1
0,3.0,0
0,3.5,0
0,4.0,2
0,4.5,4
1,0.0,3183
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,1
1,3.5,0
1,4.0,0
1,4.5,1
5,0.0,2375
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,1
5,3.5,3
5,4.0,0
5,4.5,8
10,0.0,9264
10,0.5,0
10,1.0,1
10,1.5,2
10,2.0,0
10,2.5,3
10,3.0,3
10,3.5,1
10,4.0,26
10,4.5,237
50,0.0,5589
50,0.5,0
50,1.0,1
50,1.5,2
50,2.0,5
50,2.5,0
50,3.0,5
50,3.5,10
50,4.0,59
50,4.5,331
100,0.0,15890
100,0.5,0
100,1.0,12
100,1.5,14
100,2.0,32
100,2.5,62
100,3.0,140
100,3.5,221
100,4.0,633
100,4.5,2154
500,0.0,5753
500,0.5,0
500,1.0,10
500,1.5,29
500,2.0,52
500,2.5,100
500,3.0,281
500,3.5,432
500,4.0,1083
500,4.5,2153
1k,0.0,4968
1k,0.5,0
1k,1.0,27
1k,1.5,108
1k,2.0,223
1k,2.5,504
1k,3.0,1212
1k,3.5,2610
1k,4.0,5702
1k,4.5,8803
5k,0.0,500
5k,0.5,0
5k,1.0,2
5k,1.5,29
5k,2.0,100
5k,2.5,210
5k,3.0,481
5k,3.5,1203
5k,4.0,3106
5k,4.5,4165
10k,0.0,691
10k,0.5,0
10k,1.0,6
10k,1.5,45
10k,2.0,115
10k,2.5,340
10k,3.0,795
10k,3.5,2251
10k,4.0,6360
10k,4.5,8100
50k,0.0,156
50k,0.5,0
50k,1.0,3
50k,1.5,13
50k,2.0,36
50k,2.5,80
50k,3.0,200
50k,3.5,517
50k,4.0,1881
50k,4.5,2346
100k,0.0,92
100k,0.5,0
100k,1.0,1
100k,1.5,15
100k,2.0,41
100k,2.5,114
100k,3.0,223
100k,3.5,592
100k,4.0,2157
100k,4.5,2542
500k,0.0,4
500k,0.5,0
500k,1.0,0
500k,1.5,2
500k,2.0,5
500k,2.5,14
500k,3.0,36
500k,3.5,77
500k,4.0,317
500k,4.5,397
1m,0.0,0
1m,0.5,0
1m,1.0,0
1m,1.5,2
1m,2.0,1
1m,2.5,11
1m,3.0,22
1m,3.5,69
1m,4.0,259
1m,4.5,318
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,0
5m,3.0,3
5m,3.5,5
5m,4.0,24
5m,4.5,37
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,0
10m,3.0,1
10m,3.5,3
10m,4.0,23
10m,4.5,29
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,2
50m,4.0,3
50m,4.5,1
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,0
100m,4.0,1
100m,4.5,3
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,0
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,1
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
