group,variable,value
0,0.0,134
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,0
0,4.0,1
0,4.5,1
1,0.0,1042
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,0
1,4.5,2
5,0.0,1234
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,1
5,3.5,0
5,4.0,1
5,4.5,10
10,0.0,5467
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,0
10,2.5,0
10,3.0,1
10,3.5,4
10,4.0,37
10,4.5,429
50,0.0,2819
50,0.5,0
50,1.0,0
50,1.5,1
50,2.0,0
50,2.5,0
50,3.0,3
50,3.5,6
50,4.0,64
50,4.5,672
100,0.0,5336
100,0.5,0
100,1.0,10
100,1.5,13
100,2.0,24
100,2.5,47
100,3.0,108
100,3.5,162
100,4.0,499
100,4.5,2703
500,0.0,1330
500,0.5,0
500,1.0,11
500,1.5,18
500,2.0,36
500,2.5,65
500,3.0,124
500,3.5,256
500,4.0,495
500,4.5,1315
1k,0.0,1115
1k,0.5,0
1k,1.0,15
1k,1.5,55
1k,2.0,126
1k,2.5,239
1k,3.0,546
1k,3.5,975
1k,4.0,1784
1k,4.5,2602
5k,0.0,145
5k,0.5,0
5k,1.0,2
5k,1.5,20
5k,2.0,56
5k,2.5,101
5k,3.0,273
5k,3.5,508
5k,4.0,784
5k,4.5,733
10k,0.0,120
10k,0.5,0
10k,1.0,9
10k,1.5,36
10k,2.0,97
10k,2.5,210
10k,3.0,410
10k,3.5,970
10k,4.0,1705
10k,4.5,1109
50k,0.0,33
50k,0.5,0
50k,1.0,7
50k,1.5,20
50k,2.0,49
50k,2.5,61
50k,3.0,140
50k,3.5,332
50k,4.0,515
50k,4.5,274
100k,0.0,22
100k,0.5,0
100k,1.0,7
100k,1.5,21
100k,2.0,49
100k,2.5,105
100k,3.0,206
100k,3.5,461
100k,4.0,730
100k,4.5,379
500k,0.0,0
500k,0.5,0
500k,1.0,1
500k,1.5,4
500k,2.0,6
500k,2.5,17
500k,3.0,44
500k,3.5,116
500k,4.0,208
500k,4.5,68
1m,0.0,4
1m,0.5,0
1m,1.0,1
1m,1.5,2
1m,2.0,11
1m,2.5,18
1m,3.0,44
1m,3.5,149
1m,4.0,293
1m,4.5,100
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,7
5m,3.0,7
5m,3.5,36
5m,4.0,66
5m,4.5,16
10m,0.0,0
10m,0.5,0
10m,1.0,1
10m,1.5,0
10m,2.0,0
10m,2.5,2
10m,3.0,7
10m,3.5,27
10m,4.0,85
10m,4.5,19
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,1
50m,2.5,0
50m,3.0,0
50m,3.5,5
50m,4.0,14
50m,4.5,4
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,1
100m,4.0,15
100m,4.5,1
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,0
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,1
1b,3.5,2
1b,4.0,3
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,1
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
