group,variable,value
0,0.0,42
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,1
0,4.0,0
0,4.5,0
1,0.0,454
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,1
1,3.5,0
1,4.0,0
1,4.5,0
5,0.0,641
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,3
5,4.5,8
10,0.0,2403
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,2
10,2.5,1
10,3.0,4
10,3.5,11
10,4.0,48
10,4.5,407
50,0.0,952
50,0.5,0
50,1.0,0
50,1.5,1
50,2.0,4
50,2.5,3
50,3.0,6
50,3.5,18
50,4.0,79
50,4.5,437
100,0.0,1567
100,0.5,0
100,1.0,2
100,1.5,8
100,2.0,17
100,2.5,27
100,3.0,77
100,3.5,136
100,4.0,318
100,4.5,1086
500,0.0,443
500,0.5,0
500,1.0,2
500,1.5,6
500,2.0,18
500,2.5,27
500,3.0,79
500,3.5,145
500,4.0,261
500,4.5,361
1k,0.0,402
1k,0.5,0
1k,1.0,5
1k,1.5,12
1k,2.0,56
1k,2.5,152
1k,3.0,325
1k,3.5,570
1k,4.0,879
1k,4.5,805
5k,0.0,60
5k,0.5,0
5k,1.0,0
5k,1.5,5
5k,2.0,19
5k,2.5,74
5k,3.0,151
5k,3.5,355
5k,4.0,559
5k,4.5,284
10k,0.0,65
10k,0.5,0
10k,1.0,0
10k,1.5,6
10k,2.0,26
10k,2.5,109
10k,3.0,391
10k,3.5,997
10k,4.0,1409
10k,4.5,435
50k,0.0,12
50k,0.5,0
50k,1.0,0
50k,1.5,2
50k,2.0,7
50k,2.5,36
50k,3.0,134
50k,3.5,337
50k,4.0,388
50k,4.5,160
100k,0.0,11
100k,0.5,0
100k,1.0,0
100k,1.5,2
100k,2.0,14
100k,2.5,53
100k,3.0,227
100k,3.5,573
100k,4.0,663
100k,4.5,217
500k,0.0,1
500k,0.5,0
500k,1.0,0
500k,1.5,0
500k,2.0,2
500k,2.5,17
500k,3.0,57
500k,3.5,214
500k,4.0,220
500k,4.5,74
1m,0.0,1
1m,0.5,0
1m,1.0,0
1m,1.5,1
1m,2.0,1
1m,2.5,17
1m,3.0,84
1m,3.5,231
1m,4.0,319
1m,4.5,121
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,1
5m,3.0,6
5m,3.5,45
5m,4.0,67
5m,4.5,22
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,2
10m,3.0,3
10m,3.5,39
10m,4.0,106
10m,4.5,18
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,2
50m,4.0,14
50m,4.5,1
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,1
100m,4.0,6
100m,4.5,1
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,0
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
