group,variable,value
0,0.0,11170
0,0.5,0
0,1.0,1
0,1.5,3
0,2.0,8
0,2.5,9
0,3.0,12
0,3.5,24
0,4.0,31
0,4.5,55
1,0.0,63383
1,0.5,0
1,1.0,0
1,1.5,2
1,2.0,2
1,2.5,4
1,3.0,13
1,3.5,12
1,4.0,16
1,4.5,43
5,0.0,71201
5,0.5,0
5,1.0,1
5,1.5,1
5,2.0,1
5,2.5,1
5,3.0,8
5,3.5,10
5,4.0,26
5,4.5,449
10,0.0,275494
10,0.5,0
10,1.0,13
10,1.5,16
10,2.0,14
10,2.5,45
10,3.0,92
10,3.5,199
10,4.0,1380
10,4.5,16948
50,0.0,144539
50,0.5,0
50,1.0,28
50,1.5,37
50,2.0,65
50,2.5,82
50,3.0,269
50,3.5,465
50,4.0,2373
50,4.5,20377
100,0.0,318020
100,0.5,0
100,1.0,411
100,1.5,657
100,2.0,1093
100,2.5,2053
100,3.0,4734
100,3.5,7395
100,4.0,22025
100,4.5,82877
500,0.0,87281
500,0.5,0
500,1.0,502
500,1.5,1039
500,2.0,1908
500,2.5,3286
500,3.0,7262
500,3.5,11590
500,4.0,25100
500,4.5,49522
1k,0.0,70462
1k,0.5,0
1k,1.0,1188
1k,1.5,3543
1k,2.0,7891
1k,2.5,15198
1k,3.0,31366
1k,3.5,55914
1k,4.0,98119
1k,4.5,112444
5k,0.0,6830
5k,0.5,0
5k,1.0,253
5k,1.5,1263
5k,2.0,3229
5k,2.5,6645
5k,3.0,13891
5k,3.5,28584
5k,4.0,46757
5k,4.5,35487
10k,0.0,8109
10k,0.5,0
10k,1.0,395
10k,1.5,2130
10k,2.0,5422
10k,2.5,11896
10k,3.0,25139
10k,3.5,55785
10k,4.0,92527
10k,4.5,54249
50k,0.0,1703
50k,0.5,0
50k,1.0,105
50k,1.5,629
50k,2.0,1636
50k,2.5,3489
50k,3.0,7414
50k,3.5,17025
50k,4.0,28078
50k,4.5,14982
100k,0.0,1366
100k,0.5,0
100k,1.0,133
100k,1.5,755
100k,2.0,1985
100k,2.5,4593
100k,3.0,10656
100k,3.5,25983
100k,4.0,43270
100k,4.5,21098
500k,0.0,143
500k,0.5,0
500k,1.0,14
500k,1.5,86
500k,2.0,304
500k,2.5,895
500k,3.0,2212
500k,3.5,6773
500k,4.0,11445
500k,4.5,5054
1m,0.0,56
1m,0.5,0
1m,1.0,20
1m,1.5,93
1m,2.0,299
1m,2.5,757
1m,3.0,2259
1m,3.5,8122
1m,4.0,15503
1m,4.5,6449
5m,0.0,3
5m,0.5,0
5m,1.0,1
5m,1.5,11
5m,2.0,24
5m,2.5,101
5m,3.0,303
5m,3.5,1406
5m,4.0,3426
5m,4.5,1312
10m,0.0,2
10m,0.5,0
10m,1.0,4
10m,1.5,6
10m,2.0,11
10m,2.5,53
10m,3.0,169
10m,3.5,1040
10m,4.0,3583
10m,4.5,1322
50m,0.0,0
50m,0.5,0
50m,1.0,1
50m,1.5,3
50m,2.0,4
50m,2.5,4
50m,3.0,14
50m,3.5,86
50m,4.0,531
50m,4.5,181
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,1
100m,2.5,1
100m,3.0,6
100m,3.5,49
100m,4.0,351
100m,4.5,140
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,5
500m,4.0,45
500m,4.5,15
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,1
1b,3.5,4
1b,4.0,40
1b,4.5,10
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,1
5b,2.5,0
5b,3.0,0
5b,3.5,1
5b,4.0,11
5b,4.5,1
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,1
10b,4.5,0
