group,variable,value
0,0.0,191
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,1
0,4.0,0
0,4.5,0
1,0.0,674
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,0
1,4.5,1
5,0.0,725
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,1
5,4.5,1
10,0.0,2994
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,0
10,2.5,0
10,3.0,1
10,3.5,0
10,4.0,11
10,4.5,117
50,0.0,1622
50,0.5,0
50,1.0,0
50,1.5,0
50,2.0,0
50,2.5,0
50,3.0,2
50,3.5,5
50,4.0,30
50,4.5,132
100,0.0,3423
100,0.5,0
100,1.0,12
100,1.5,15
100,2.0,16
100,2.5,24
100,3.0,54
100,3.5,105
100,4.0,275
100,4.5,751
500,0.0,796
500,0.5,0
500,1.0,19
500,1.5,24
500,2.0,42
500,2.5,51
500,3.0,111
500,3.5,152
500,4.0,364
500,4.5,529
1k,0.0,656
1k,0.5,0
1k,1.0,21
1k,1.5,58
1k,2.0,148
1k,2.5,256
1k,3.0,538
1k,3.5,848
1k,4.0,1362
1k,4.5,1132
5k,0.0,79
5k,0.5,0
5k,1.0,2
5k,1.5,19
5k,2.0,52
5k,2.5,141
5k,3.0,249
5k,3.5,413
5k,4.0,579
5k,4.5,288
10k,0.0,107
10k,0.5,0
10k,1.0,15
10k,1.5,69
10k,2.0,145
10k,2.5,275
10k,3.0,481
10k,3.5,839
10k,4.0,1023
10k,4.5,326
50k,0.0,25
50k,0.5,0
50k,1.0,2
50k,1.5,18
50k,2.0,49
50k,2.5,88
50k,3.0,146
50k,3.5,240
50k,4.0,243
50k,4.5,98
100k,0.0,17
100k,0.5,0
100k,1.0,2
100k,1.5,22
100k,2.0,48
100k,2.5,125
100k,3.0,184
100k,3.5,313
100k,4.0,407
100k,4.5,157
500k,0.0,3
500k,0.5,0
500k,1.0,0
500k,1.5,1
500k,2.0,7
500k,2.5,20
500k,3.0,38
500k,3.5,72
500k,4.0,108
500k,4.5,53
1m,0.0,1
1m,0.5,0
1m,1.0,0
1m,1.5,1
1m,2.0,5
1m,2.5,21
1m,3.0,29
1m,3.5,69
1m,4.0,146
1m,4.5,77
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,1
5m,2.5,0
5m,3.0,4
5m,3.5,10
5m,4.0,35
5m,4.5,13
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,0
10m,3.0,2
10m,3.5,11
10m,4.0,26
10m,4.5,10
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,0
50m,4.0,3
50m,4.5,4
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,0
100m,4.0,2
100m,4.5,1
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,1
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
