group,variable,value
0,0.0,70
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,0
0,4.0,0
0,4.5,0
1,0.0,387
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,2
1,3.5,0
1,4.0,0
1,4.5,0
5,0.0,545
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,0
5,4.5,7
10,0.0,2201
10,0.5,0
10,1.0,0
10,1.5,1
10,2.0,0
10,2.5,0
10,3.0,1
10,3.5,2
10,4.0,11
10,4.5,91
50,0.0,1373
50,0.5,0
50,1.0,1
50,1.5,1
50,2.0,1
50,2.5,1
50,3.0,3
50,3.5,1
50,4.0,12
50,4.5,134
100,0.0,4206
100,0.5,0
100,1.0,7
100,1.5,12
100,2.0,13
100,2.5,31
100,3.0,46
100,3.5,71
100,4.0,157
100,4.5,507
500,0.0,1690
500,0.5,0
500,1.0,6
500,1.5,19
500,2.0,30
500,2.5,44
500,3.0,107
500,3.5,154
500,4.0,264
500,4.5,399
1k,0.0,1632
1k,0.5,0
1k,1.0,28
1k,1.5,88
1k,2.0,174
1k,2.5,317
1k,3.0,604
1k,3.5,1053
1k,4.0,1566
1k,4.5,1172
5k,0.0,139
5k,0.5,0
5k,1.0,9
5k,1.5,30
5k,2.0,61
5k,2.5,167
5k,3.0,290
5k,3.5,704
5k,4.0,869
5k,4.5,382
10k,0.0,206
10k,0.5,0
10k,1.0,12
10k,1.5,53
10k,2.0,131
10k,2.5,285
10k,3.0,547
10k,3.5,1519
10k,4.0,1988
10k,4.5,586
50k,0.0,40
50k,0.5,0
50k,1.0,3
50k,1.5,24
50k,2.0,60
50k,2.5,121
50k,3.0,193
50k,3.5,546
50k,4.0,753
50k,4.5,157
100k,0.0,45
100k,0.5,0
100k,1.0,9
100k,1.5,24
100k,2.0,83
100k,2.5,170
100k,3.0,357
100k,3.5,979
100k,4.0,1324
100k,4.5,304
500k,0.0,2
500k,0.5,0
500k,1.0,0
500k,1.5,6
500k,2.0,13
500k,2.5,35
500k,3.0,92
500k,3.5,269
500k,4.0,406
500k,4.5,115
1m,0.0,5
1m,0.5,0
1m,1.0,1
1m,1.5,5
1m,2.0,21
1m,2.5,43
1m,3.0,105
1m,3.5,434
1m,4.0,599
1m,4.5,193
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,1
5m,2.0,1
5m,2.5,4
5m,3.0,12
5m,3.5,77
5m,4.0,129
5m,4.5,63
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,2
10m,2.5,6
10m,3.0,8
10m,3.5,41
10m,4.0,142
10m,4.5,69
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,1
50m,4.0,21
50m,4.5,12
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,6
100m,4.0,19
100m,4.5,12
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,2
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,1
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,1
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
