group,variable,value
0,0.0,467
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,3
0,2.5,1
0,3.0,2
0,3.5,2
0,4.0,5
0,4.5,5
1,0.0,2475
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,1
1,3.0,2
1,3.5,2
1,4.0,2
1,4.5,4
5,0.0,2839
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,1
5,3.5,0
5,4.0,1
5,4.5,17
10,0.0,11770
10,0.5,0
10,1.0,1
10,1.5,1
10,2.0,0
10,2.5,6
10,3.0,8
10,3.5,11
10,4.0,73
10,4.5,706
50,0.0,6880
50,0.5,0
50,1.0,2
50,1.5,2
50,2.0,6
50,2.5,4
50,3.0,9
50,3.5,14
50,4.0,99
50,4.5,932
100,0.0,17213
100,0.5,0
100,1.0,19
100,1.5,39
100,2.0,63
100,2.5,120
100,3.0,273
100,3.5,399
100,4.0,1153
100,4.5,4022
500,0.0,5542
500,0.5,0
500,1.0,35
500,1.5,46
500,2.0,128
500,2.5,204
500,3.0,450
500,3.5,677
500,4.0,1366
500,4.5,2669
1k,0.0,5256
1k,0.5,0
1k,1.0,79
1k,1.5,236
1k,2.0,535
1k,2.5,1150
1k,3.0,2253
1k,3.5,3859
1k,4.0,6404
1k,4.5,6896
5k,0.0,569
5k,0.5,0
5k,1.0,11
5k,1.5,91
5k,2.0,235
5k,2.5,563
5k,3.0,1115
5k,3.5,2265
5k,4.0,3271
5k,4.5,2229
10k,0.0,640
10k,0.5,0
10k,1.0,21
10k,1.5,149
10k,2.0,432
10k,2.5,1086
10k,3.0,2272
10k,3.5,4605
10k,4.0,7050
10k,4.5,3360
50k,0.0,171
50k,0.5,0
50k,1.0,8
50k,1.5,46
50k,2.0,151
50k,2.5,382
50k,3.0,734
50k,3.5,1418
50k,4.0,2192
50k,4.5,870
100k,0.0,150
100k,0.5,0
100k,1.0,19
100k,1.5,61
100k,2.0,199
100k,2.5,521
100k,3.0,1121
100k,3.5,2312
100k,4.0,3525
100k,4.5,1236
500k,0.0,17
500k,0.5,0
500k,1.0,3
500k,1.5,8
500k,2.0,49
500k,2.5,122
500k,3.0,240
500k,3.5,567
500k,4.0,809
500k,4.5,219
1m,0.0,13
1m,0.5,0
1m,1.0,8
1m,1.5,11
1m,2.0,41
1m,2.5,99
1m,3.0,250
1m,3.5,638
1m,4.0,983
1m,4.5,256
5m,0.0,1
5m,0.5,0
5m,1.0,0
5m,1.5,1
5m,2.0,4
5m,2.5,12
5m,3.0,43
5m,3.5,105
5m,4.0,164
5m,4.5,34
10m,0.0,0
10m,0.5,0
10m,1.0,1
10m,1.5,1
10m,2.0,4
10m,2.5,6
10m,3.0,27
10m,3.5,79
10m,4.0,128
10m,4.5,50
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,1
50m,2.0,1
50m,2.5,2
50m,3.0,0
50m,3.5,3
50m,4.0,20
50m,4.5,7
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,1
100m,2.5,0
100m,3.0,2
100m,3.5,9
100m,4.0,12
100m,4.5,4
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,1
500m,4.0,1
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,2
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
