group,variable,value
0,0.0,222
0,0.5,0
0,1.0,0
0,1.5,1
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,1
0,4.0,1
0,4.5,1
1,0.0,1052
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,1
1,4.5,4
5,0.0,1128
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,1
5,4.0,0
5,4.5,2
10,0.0,5662
10,0.5,0
10,1.0,0
10,1.5,1
10,2.0,1
10,2.5,0
10,3.0,1
10,3.5,4
10,4.0,14
10,4.5,219
50,0.0,3893
50,0.5,0
50,1.0,1
50,1.5,2
50,2.0,0
50,2.5,3
50,3.0,7
50,3.5,14
50,4.0,53
50,4.5,326
100,0.0,11774
100,0.5,0
100,1.0,8
100,1.5,9
100,2.0,21
100,2.5,53
100,3.0,127
100,3.5,239
100,4.0,699
100,4.5,1809
500,0.0,3846
500,0.5,0
500,1.0,10
500,1.5,19
500,2.0,27
500,2.5,72
500,3.0,233
500,3.5,416
500,4.0,1134
500,4.5,1765
1k,0.0,2952
1k,0.5,0
1k,1.0,18
1k,1.5,43
1k,2.0,116
1k,2.5,280
1k,3.0,897
1k,3.5,2273
1k,4.0,5639
1k,4.5,6231
5k,0.0,269
5k,0.5,0
5k,1.0,3
5k,1.5,11
5k,2.0,44
5k,2.5,91
5k,3.0,338
5k,3.5,1020
5k,4.0,2967
5k,4.5,2630
10k,0.0,323
10k,0.5,0
10k,1.0,5
10k,1.5,15
10k,2.0,56
10k,2.5,164
10k,3.0,503
10k,3.5,2022
10k,4.0,6707
10k,4.5,4718
50k,0.0,38
50k,0.5,0
50k,1.0,2
50k,1.5,1
50k,2.0,18
50k,2.5,58
50k,3.0,156
50k,3.5,673
50k,4.0,2079
50k,4.5,1372
100k,0.0,34
100k,0.5,0
100k,1.0,1
100k,1.5,10
100k,2.0,24
100k,2.5,63
100k,3.0,215
100k,3.5,984
100k,4.0,3081
100k,4.5,1747
500k,0.0,7
500k,0.5,0
500k,1.0,0
500k,1.5,2
500k,2.0,4
500k,2.5,14
500k,3.0,54
500k,3.5,247
500k,4.0,742
500k,4.5,317
1m,0.0,0
1m,0.5,0
1m,1.0,0
1m,1.5,0
1m,2.0,0
1m,2.5,14
1m,3.0,51
1m,3.5,245
1m,4.0,795
1m,4.5,349
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,1
5m,3.0,5
5m,3.5,38
5m,4.0,131
5m,4.5,57
10m,0.0,1
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,0
10m,3.0,1
10m,3.5,12
10m,4.0,88
10m,4.5,43
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,1
50m,3.5,1
50m,4.0,4
50m,4.5,5
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,0
100m,4.0,8
100m,4.5,6
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,1
500m,4.0,0
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,1
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
