group,variable,value
0,0.0,11
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,0
0,4.0,0
0,4.5,0
1,0.0,104
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,0
1,4.5,0
5,0.0,102
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,0
5,4.5,0
10,0.0,498
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,0
10,2.5,0
10,3.0,0
10,3.5,0
10,4.0,4
10,4.5,15
50,0.0,256
50,0.5,0
50,1.0,1
50,1.5,1
50,2.0,0
50,2.5,0
50,3.0,1
50,3.5,0
50,4.0,2
50,4.5,28
100,0.0,703
100,0.5,0
100,1.0,2
100,1.5,2
100,2.0,3
100,2.5,4
100,3.0,15
100,3.5,15
100,4.0,36
100,4.5,130
500,0.0,253
500,0.5,0
500,1.0,3
500,1.5,8
500,2.0,5
500,2.5,6
500,3.0,27
500,3.5,32
500,4.0,51
500,4.5,79
1k,0.0,318
1k,0.5,0
1k,1.0,9
1k,1.5,24
1k,2.0,61
1k,2.5,84
1k,3.0,143
1k,3.5,204
1k,4.0,223
1k,4.5,245
5k,0.0,24
5k,0.5,0
5k,1.0,0
5k,1.5,8
5k,2.0,29
5k,2.5,39
5k,3.0,87
5k,3.5,149
5k,4.0,138
5k,4.5,91
10k,0.0,40
10k,0.5,0
10k,1.0,2
10k,1.5,7
10k,2.0,20
10k,2.5,91
10k,3.0,180
10k,3.5,333
10k,4.0,279
10k,4.5,153
50k,0.0,6
50k,0.5,0
50k,1.0,0
50k,1.5,5
50k,2.0,7
50k,2.5,15
50k,3.0,44
50k,3.5,111
50k,4.0,94
50k,4.5,34
100k,0.0,4
100k,0.5,0
100k,1.0,1
100k,1.5,4
100k,2.0,11
100k,2.5,31
100k,3.0,75
100k,3.5,129
100k,4.0,147
100k,4.5,60
500k,0.0,0
500k,0.5,0
500k,1.0,0
500k,1.5,1
500k,2.0,5
500k,2.5,5
500k,3.0,21
500k,3.5,36
500k,4.0,35
500k,4.5,20
1m,0.0,0
1m,0.5,0
1m,1.0,1
1m,1.5,1
1m,2.0,2
1m,2.5,5
1m,3.0,13
1m,3.5,44
1m,4.0,54
1m,4.5,9
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,0
5m,3.0,3
5m,3.5,8
5m,4.0,12
5m,4.5,0
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,0
10m,3.0,3
10m,3.5,6
10m,4.0,6
10m,4.5,1
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,0
50m,4.0,0
50m,4.5,0
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,0
100m,4.0,1
100m,4.5,0
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,0
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
