group,variable,value
0,0.0,144
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,0
0,4.0,1
0,4.5,1
1,0.0,949
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,1
1,4.5,1
5,0.0,1014
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,0
5,4.5,4
10,0.0,4398
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,0
10,2.5,2
10,3.0,2
10,3.5,5
10,4.0,16
10,4.5,199
50,0.0,2801
50,0.5,0
50,1.0,1
50,1.5,2
50,2.0,3
50,2.5,4
50,3.0,8
50,3.5,10
50,4.0,35
50,4.5,261
100,0.0,7187
100,0.5,0
100,1.0,14
100,1.5,11
100,2.0,15
100,2.5,43
100,3.0,117
100,3.5,154
100,4.0,437
100,4.5,1684
500,0.0,2001
500,0.5,0
500,1.0,15
500,1.5,20
500,2.0,43
500,2.5,67
500,3.0,165
500,3.5,267
500,4.0,552
500,4.5,1121
1k,0.0,1375
1k,0.5,0
1k,1.0,18
1k,1.5,86
1k,2.0,180
1k,2.5,347
1k,3.0,726
1k,3.5,1284
1k,4.0,2274
1k,4.5,2496
5k,0.0,150
5k,0.5,0
5k,1.0,6
5k,1.5,28
5k,2.0,70
5k,2.5,132
5k,3.0,307
5k,3.5,629
5k,4.0,1024
5k,4.5,731
10k,0.0,174
10k,0.5,0
10k,1.0,6
10k,1.5,44
10k,2.0,102
10k,2.5,290
10k,3.0,587
10k,3.5,1360
10k,4.0,2051
10k,4.5,1026
50k,0.0,34
50k,0.5,0
50k,1.0,2
50k,1.5,10
50k,2.0,38
50k,2.5,63
50k,3.0,184
50k,3.5,422
50k,4.0,601
50k,4.5,236
100k,0.0,30
100k,0.5,0
100k,1.0,3
100k,1.5,15
100k,2.0,35
100k,2.5,99
100k,3.0,270
100k,3.5,642
100k,4.0,914
100k,4.5,336
500k,0.0,2
500k,0.5,0
500k,1.0,0
500k,1.5,1
500k,2.0,6
500k,2.5,14
500k,3.0,50
500k,3.5,176
500k,4.0,264
500k,4.5,86
1m,0.0,0
1m,0.5,0
1m,1.0,2
1m,1.5,3
1m,2.0,3
1m,2.5,10
1m,3.0,52
1m,3.5,227
1m,4.0,398
1m,4.5,97
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,2
5m,3.0,8
5m,3.5,32
5m,4.0,130
5m,4.5,34
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,3
10m,3.0,1
10m,3.5,36
10m,4.0,138
10m,4.5,20
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,3
50m,4.0,24
50m,4.5,2
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,0
100m,4.0,13
100m,4.5,2
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,1
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
