group,variable,value
0,0.0,481
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,2
0,3.0,1
0,3.5,2
0,4.0,2
0,4.5,5
1,0.0,3103
1,0.5,0
1,1.0,0
1,1.5,1
1,2.0,1
1,2.5,0
1,3.0,2
1,3.5,5
1,4.0,6
1,4.5,1
5,0.0,3719
5,0.5,0
5,1.0,0
5,1.5,1
5,2.0,0
5,2.5,1
5,3.0,1
5,3.5,1
5,4.0,2
5,4.5,34
10,0.0,14941
10,0.5,0
10,1.0,1
10,1.5,1
10,2.0,2
10,2.5,4
10,3.0,4
10,3.5,17
10,4.0,65
10,4.5,820
50,0.0,7854
50,0.5,0
50,1.0,7
50,1.5,3
50,2.0,5
50,2.5,14
50,3.0,28
50,3.5,33
50,4.0,147
50,4.5,873
100,0.0,17284
100,0.5,0
100,1.0,46
100,1.5,56
100,2.0,124
100,2.5,195
100,3.0,422
100,3.5,557
100,4.0,1593
100,4.5,3770
500,0.0,4742
500,0.5,0
500,1.0,56
500,1.5,126
500,2.0,202
500,2.5,335
500,3.0,604
500,3.5,914
500,4.0,1769
500,4.5,2424
1k,0.0,3730
1k,0.5,0
1k,1.0,148
1k,1.5,405
1k,2.0,862
1k,2.5,1486
1k,3.0,2675
1k,3.5,4353
1k,4.0,6705
1k,4.5,5350
5k,0.0,407
5k,0.5,0
5k,1.0,34
5k,1.5,156
5k,2.0,401
5k,2.5,657
5k,3.0,1226
5k,3.5,2279
5k,4.0,3070
5k,4.5,1609
10k,0.0,465
10k,0.5,0
10k,1.0,42
10k,1.5,258
10k,2.0,664
10k,2.5,1221
10k,3.0,2390
10k,3.5,4650
10k,4.0,6340
10k,4.5,2119
50k,0.0,94
50k,0.5,0
50k,1.0,8
50k,1.5,75
50k,2.0,207
50k,2.5,378
50k,3.0,731
50k,3.5,1488
50k,4.0,1972
50k,4.5,610
100k,0.0,87
100k,0.5,0
100k,1.0,10
100k,1.5,83
100k,2.0,239
100k,2.5,540
100k,3.0,1088
100k,3.5,2252
100k,4.0,3324
100k,4.5,1200
500k,0.0,8
500k,0.5,0
500k,1.0,3
500k,1.5,7
500k,2.0,32
500k,2.5,112
500k,3.0,240
500k,3.5,550
500k,4.0,1004
500k,4.5,312
1m,0.0,7
1m,0.5,0
1m,1.0,0
1m,1.5,10
1m,2.0,33
1m,2.5,77
1m,3.0,220
1m,3.5,661
1m,4.0,1363
1m,4.5,503
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,1
5m,2.0,0
5m,2.5,15
5m,3.0,35
5m,3.5,124
5m,4.0,271
5m,4.5,128
10m,0.0,0
10m,0.5,0
10m,1.0,1
10m,1.5,4
10m,2.0,0
10m,2.5,7
10m,3.0,20
10m,3.5,85
10m,4.0,305
10m,4.5,155
50m,0.0,0
50m,0.5,0
50m,1.0,1
50m,1.5,2
50m,2.0,2
50m,2.5,1
50m,3.0,6
50m,3.5,7
50m,4.0,45
50m,4.5,25
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,1
100m,3.5,7
100m,4.0,29
100m,4.5,22
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,10
500m,4.5,6
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,10
1b,4.5,4
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,3
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,1
10b,4.5,0
