group,variable,value
0,0.0,323
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,0
0,4.0,1
0,4.5,2
1,0.0,2377
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,0
1,4.5,1
5,0.0,3005
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,1
5,2.5,0
5,3.0,0
5,3.5,1
5,4.0,1
5,4.5,18
10,0.0,11487
10,0.5,0
10,1.0,0
10,1.5,1
10,2.0,1
10,2.5,0
10,3.0,6
10,3.5,11
10,4.0,38
10,4.5,549
50,0.0,5924
50,0.5,0
50,1.0,0
50,1.5,1
50,2.0,2
50,2.5,4
50,3.0,9
50,3.5,20
50,4.0,86
50,4.5,654
100,0.0,11956
100,0.5,0
100,1.0,20
100,1.5,28
100,2.0,47
100,2.5,88
100,3.0,218
100,3.5,297
100,4.0,863
100,4.5,2662
500,0.0,2903
500,0.5,0
500,1.0,8
500,1.5,48
500,2.0,72
500,2.5,107
500,3.0,298
500,3.5,468
500,4.0,980
500,4.5,1590
1k,0.0,2063
1k,0.5,0
1k,1.0,48
1k,1.5,133
1k,2.0,348
1k,2.5,618
1k,3.0,1283
1k,3.5,2094
1k,4.0,3356
1k,4.5,3020
5k,0.0,173
5k,0.5,0
5k,1.0,11
5k,1.5,51
5k,2.0,145
5k,2.5,289
5k,3.0,518
5k,3.5,1018
5k,4.0,1411
5k,4.5,729
10k,0.0,211
10k,0.5,0
10k,1.0,16
10k,1.5,81
10k,2.0,221
10k,2.5,442
10k,3.0,869
10k,3.5,1786
10k,4.0,2487
10k,4.5,914
50k,0.0,33
50k,0.5,0
50k,1.0,5
50k,1.5,34
50k,2.0,68
50k,2.5,125
50k,3.0,239
50k,3.5,505
50k,4.0,684
50k,4.5,277
100k,0.0,29
100k,0.5,0
100k,1.0,7
100k,1.5,30
100k,2.0,72
100k,2.5,165
100k,3.0,332
100k,3.5,645
100k,4.0,1104
100k,4.5,461
500k,0.0,3
500k,0.5,0
500k,1.0,0
500k,1.5,3
500k,2.0,11
500k,2.5,30
500k,3.0,65
500k,3.5,163
500k,4.0,316
500k,4.5,127
1m,0.0,0
1m,0.5,0
1m,1.0,1
1m,1.5,3
1m,2.0,9
1m,2.5,19
1m,3.0,68
1m,3.5,173
1m,4.0,371
1m,4.5,187
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,1
5m,2.0,1
5m,2.5,10
5m,3.0,8
5m,3.5,25
5m,4.0,83
5m,4.5,37
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,1
10m,2.5,3
10m,3.0,5
10m,3.5,19
10m,4.0,69
10m,4.5,38
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,4
50m,4.0,17
50m,4.5,6
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,1
100m,3.5,3
100m,4.0,12
100m,4.5,5
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,6
500m,4.5,2
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,10
1b,4.5,2
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,1
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
