group,variable,value
0,0.0,25
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,0
0,4.0,0
0,4.5,1
1,0.0,198
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,2
1,3.5,0
1,4.0,0
1,4.5,0
5,0.0,265
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,1
5,4.5,4
10,0.0,958
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,0
10,2.5,0
10,3.0,0
10,3.5,0
10,4.0,7
10,4.5,132
50,0.0,433
50,0.5,0
50,1.0,0
50,1.5,0
50,2.0,0
50,2.5,1
50,3.0,4
50,3.5,4
50,4.0,18
50,4.5,132
100,0.0,868
100,0.5,0
100,1.0,3
100,1.5,1
100,2.0,2
100,2.5,9
100,3.0,25
100,3.5,38
100,4.0,127
100,4.5,380
500,0.0,240
500,0.5,0
500,1.0,0
500,1.5,3
500,2.0,4
500,2.5,11
500,3.0,39
500,3.5,68
500,4.0,131
500,4.5,182
1k,0.0,212
1k,0.5,0
1k,1.0,3
1k,1.5,14
1k,2.0,33
1k,2.5,79
1k,3.0,163
1k,3.5,337
1k,4.0,469
1k,4.5,399
5k,0.0,43
5k,0.5,0
5k,1.0,1
5k,1.5,2
5k,2.0,9
5k,2.5,20
5k,3.0,93
5k,3.5,188
5k,4.0,274
5k,4.5,121
10k,0.0,38
10k,0.5,0
10k,1.0,0
10k,1.5,2
10k,2.0,19
10k,2.5,45
10k,3.0,162
10k,3.5,430
10k,4.0,588
10k,4.5,206
50k,0.0,11
50k,0.5,0
50k,1.0,0
50k,1.5,0
50k,2.0,6
50k,2.5,14
50k,3.0,50
50k,3.5,156
50k,4.0,230
50k,4.5,81
100k,0.0,10
100k,0.5,0
100k,1.0,0
100k,1.5,0
100k,2.0,3
100k,2.5,27
100k,3.0,87
100k,3.5,252
100k,4.0,357
100k,4.5,134
500k,0.0,0
500k,0.5,0
500k,1.0,0
500k,1.5,0
500k,2.0,0
500k,2.5,7
500k,3.0,15
500k,3.5,66
500k,4.0,131
500k,4.5,41
1m,0.0,0
1m,0.5,0
1m,1.0,0
1m,1.5,0
1m,2.0,1
1m,2.5,5
1m,3.0,7
1m,3.5,94
1m,4.0,168
1m,4.5,69
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,0
5m,3.0,4
5m,3.5,11
5m,4.0,40
5m,4.5,21
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,0
10m,3.0,1
10m,3.5,3
10m,4.0,43
10m,4.5,13
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,1
50m,4.0,9
50m,4.5,2
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,0
100m,4.0,4
100m,4.5,2
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,1
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
