group,variable,value
0,0.0,14
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,0
0,4.0,0
0,4.5,0
1,0.0,71
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,0
1,4.5,0
5,0.0,93
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,0
5,4.5,0
10,0.0,386
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,0
10,2.5,0
10,3.0,0
10,3.5,0
10,4.0,0
10,4.5,24
50,0.0,203
50,0.5,0
50,1.0,0
50,1.5,0
50,2.0,0
50,2.5,0
50,3.0,0
50,3.5,0
50,4.0,1
50,4.5,32
100,0.0,407
100,0.5,0
100,1.0,1
100,1.5,1
100,2.0,3
100,2.5,5
100,3.0,5
100,3.5,7
100,4.0,26
100,4.5,88
500,0.0,136
500,0.5,0
500,1.0,3
500,1.5,5
500,2.0,5
500,2.5,4
500,3.0,8
500,3.5,22
500,4.0,29
500,4.5,62
1k,0.0,138
1k,0.5,0
1k,1.0,2
1k,1.5,16
1k,2.0,22
1k,2.5,34
1k,3.0,61
1k,3.5,90
1k,4.0,138
1k,4.5,159
5k,0.0,17
5k,0.5,0
5k,1.0,2
5k,1.5,3
5k,2.0,10
5k,2.5,16
5k,3.0,31
5k,3.5,57
5k,4.0,77
5k,4.5,64
10k,0.0,21
10k,0.5,0
10k,1.0,4
10k,1.5,7
10k,2.0,20
10k,2.5,22
10k,3.0,61
10k,3.5,128
10k,4.0,196
10k,4.5,117
50k,0.0,2
50k,0.5,0
50k,1.0,0
50k,1.5,2
50k,2.0,5
50k,2.5,8
50k,3.0,18
50k,3.5,29
50k,4.0,62
50k,4.5,42
100k,0.0,5
100k,0.5,0
100k,1.0,0
100k,1.5,2
100k,2.0,3
100k,2.5,5
100k,3.0,28
100k,3.5,53
100k,4.0,95
100k,4.5,90
500k,0.0,3
500k,0.5,0
500k,1.0,0
500k,1.5,0
500k,2.0,0
500k,2.5,1
500k,3.0,3
500k,3.5,13
500k,4.0,29
500k,4.5,29
1m,0.0,0
1m,0.5,0
1m,1.0,0
1m,1.5,0
1m,2.0,0
1m,2.5,1
1m,3.0,2
1m,3.5,12
1m,4.0,19
1m,4.5,36
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,0
5m,3.0,0
5m,3.5,0
5m,4.0,4
5m,4.5,4
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,0
10m,3.0,0
10m,3.5,0
10m,4.0,2
10m,4.5,3
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,0
50m,4.0,0
50m,4.5,0
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,0
100m,4.0,0
100m,4.5,0
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,0
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
