group,variable,value
0,0.0,215
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,1
0,3.0,1
0,3.5,0
0,4.0,2
0,4.5,1
1,0.0,1762
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,0
1,4.5,3
5,0.0,2406
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,2
5,3.5,1
5,4.0,6
5,4.5,35
10,0.0,7975
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,1
10,2.5,4
10,3.0,7
10,3.5,29
10,4.0,230
10,4.5,2251
50,0.0,2753
50,0.5,0
50,1.0,2
50,1.5,1
50,2.0,2
50,2.5,9
50,3.0,26
50,3.5,40
50,4.0,256
50,4.5,2004
100,0.0,4679
100,0.5,0
100,1.0,7
100,1.5,11
100,2.0,28
100,2.5,67
100,3.0,177
100,3.5,307
100,4.0,1084
100,4.5,4298
500,0.0,1137
500,0.5,0
500,1.0,9
500,1.5,15
500,2.0,28
500,2.5,54
500,3.0,178
500,3.5,320
500,4.0,631
500,4.5,1310
1k,0.0,1206
1k,0.5,0
1k,1.0,11
1k,1.5,32
1k,2.0,89
1k,2.5,204
1k,3.0,550
1k,3.5,1106
1k,4.0,1826
1k,4.5,2102
5k,0.0,122
5k,0.5,0
5k,1.0,1
5k,1.5,11
5k,2.0,28
5k,2.5,80
5k,3.0,223
5k,3.5,541
5k,4.0,730
5k,4.5,440
10k,0.0,108
10k,0.5,0
10k,1.0,3
10k,1.5,17
10k,2.0,44
10k,2.5,151
10k,3.0,517
10k,3.5,1206
10k,4.0,1311
10k,4.5,392
50k,0.0,18
50k,0.5,0
50k,1.0,0
50k,1.5,3
50k,2.0,16
50k,2.5,50
50k,3.0,177
50k,3.5,392
50k,4.0,454
50k,4.5,108
100k,0.0,10
100k,0.5,0
100k,1.0,0
100k,1.5,5
100k,2.0,31
100k,2.5,69
100k,3.0,212
100k,3.5,623
100k,4.0,732
100k,4.5,153
500k,0.0,1
500k,0.5,0
500k,1.0,0
500k,1.5,0
500k,2.0,1
500k,2.5,13
500k,3.0,51
500k,3.5,202
500k,4.0,269
500k,4.5,66
1m,0.0,0
1m,0.5,0
1m,1.0,1
1m,1.5,2
1m,2.0,3
1m,2.5,15
1m,3.0,65
1m,3.5,248
1m,4.0,538
1m,4.5,119
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,2
5m,3.0,9
5m,3.5,57
5m,4.0,159
5m,4.5,34
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,1
10m,3.0,8
10m,3.5,46
10m,4.0,193
10m,4.5,41
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,6
50m,4.0,36
50m,4.5,6
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,3
100m,4.0,31
100m,4.5,9
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,2
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,1
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
