group,variable,value
0,0.0,18
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,0
0,3.0,0
0,3.5,0
0,4.0,0
0,4.5,0
1,0.0,98
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,0
1,4.5,0
5,0.0,121
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,0
5,4.5,1
10,0.0,528
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,1
10,2.5,1
10,3.0,0
10,3.5,1
10,4.0,1
10,4.5,27
50,0.0,385
50,0.5,0
50,1.0,0
50,1.5,0
50,2.0,1
50,2.5,1
50,3.0,2
50,3.5,0
50,4.0,9
50,4.5,37
100,0.0,1173
100,0.5,0
100,1.0,2
100,1.5,5
100,2.0,13
100,2.5,17
100,3.0,25
100,3.5,42
100,4.0,107
100,4.5,242
500,0.0,418
500,0.5,0
500,1.0,3
500,1.5,5
500,2.0,13
500,2.5,32
500,3.0,58
500,3.5,75
500,4.0,121
500,4.5,201
1k,0.0,415
1k,0.5,0
1k,1.0,10
1k,1.5,29
1k,2.0,78
1k,2.5,167
1k,3.0,261
1k,3.5,440
1k,4.0,641
1k,4.5,465
5k,0.0,56
5k,0.5,0
5k,1.0,1
5k,1.5,18
5k,2.0,60
5k,2.5,101
5k,3.0,172
5k,3.5,290
5k,4.0,341
5k,4.5,176
10k,0.0,82
10k,0.5,0
10k,1.0,4
10k,1.5,30
10k,2.0,108
10k,2.5,213
10k,3.0,389
10k,3.5,690
10k,4.0,749
10k,4.5,286
50k,0.0,17
50k,0.5,0
50k,1.0,3
50k,1.5,15
50k,2.0,46
50k,2.5,84
50k,3.0,133
50k,3.5,265
50k,4.0,255
50k,4.5,94
100k,0.0,19
100k,0.5,0
100k,1.0,1
100k,1.5,13
100k,2.0,54
100k,2.5,121
100k,3.0,234
100k,3.5,450
100k,4.0,459
100k,4.5,147
500k,0.0,2
500k,0.5,0
500k,1.0,0
500k,1.5,2
500k,2.0,10
500k,2.5,23
500k,3.0,79
500k,3.5,154
500k,4.0,151
500k,4.5,41
1m,0.0,0
1m,0.5,0
1m,1.0,1
1m,1.5,2
1m,2.0,10
1m,2.5,23
1m,3.0,63
1m,3.5,185
1m,4.0,267
1m,4.5,82
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,1
5m,2.5,5
5m,3.0,8
5m,3.5,35
5m,4.0,74
5m,4.5,29
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,1
10m,3.0,11
10m,3.5,28
10m,4.0,73
10m,4.5,45
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,4
50m,4.0,11
50m,4.5,10
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,2
100m,4.0,12
100m,4.5,10
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,3
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,0
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,2
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
