group,variable,value
0,0.0,722
0,0.5,0
0,1.0,0
0,1.5,1
0,2.0,1
0,2.5,0
0,3.0,0
0,3.5,2
0,4.0,2
0,4.5,5
1,0.0,3875
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,1
1,4.0,1
1,4.5,1
5,0.0,4335
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,0
5,4.0,0
5,4.5,3
10,0.0,18384
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,0
10,2.5,0
10,3.0,5
10,3.5,1
10,4.0,30
10,4.5,363
50,0.0,10458
50,0.5,0
50,1.0,0
50,1.5,1
50,2.0,0
50,2.5,2
50,3.0,10
50,3.5,18
50,4.0,70
50,4.5,822
100,0.0,23885
100,0.5,0
100,1.0,10
100,1.5,26
100,2.0,46
100,2.5,84
100,3.0,197
100,3.5,367
100,4.0,1242
100,4.5,5295
500,0.0,6751
500,0.5,0
500,1.0,20
500,1.5,37
500,2.0,76
500,2.5,161
500,3.0,376
500,3.5,712
500,4.0,1863
500,4.5,4246
1k,0.0,4732
1k,0.5,0
1k,1.0,23
1k,1.5,102
1k,2.0,240
1k,2.5,543
1k,3.0,1541
1k,3.5,3432
1k,4.0,7908
1k,4.5,11430
5k,0.0,468
5k,0.5,0
5k,1.0,1
5k,1.5,37
5k,2.0,70
5k,2.5,219
5k,3.0,487
5k,3.5,1367
5k,4.0,3970
5k,4.5,4101
10k,0.0,608
10k,0.5,0
10k,1.0,3
10k,1.5,36
10k,2.0,112
10k,2.5,314
10k,3.0,778
10k,3.5,2270
10k,4.0,6769
10k,4.5,6444
50k,0.0,115
50k,0.5,0
50k,1.0,1
50k,1.5,11
50k,2.0,40
50k,2.5,77
50k,3.0,250
50k,3.5,607
50k,4.0,1720
50k,4.5,1541
100k,0.0,72
100k,0.5,0
100k,1.0,1
100k,1.5,10
100k,2.0,41
100k,2.5,115
100k,3.0,322
100k,3.5,806
100k,4.0,2135
100k,4.5,1727
500k,0.0,0
500k,0.5,0
500k,1.0,0
500k,1.5,0
500k,2.0,12
500k,2.5,24
500k,3.0,82
500k,3.5,189
500k,4.0,400
500k,4.5,335
1m,0.0,1
1m,0.5,0
1m,1.0,0
1m,1.5,2
1m,2.0,10
1m,2.5,22
1m,3.0,46
1m,3.5,193
1m,4.0,470
1m,4.5,262
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,1
5m,2.5,1
5m,3.0,8
5m,3.5,34
5m,4.0,81
5m,4.5,57
10m,0.0,0
10m,0.5,0
10m,1.0,1
10m,1.5,0
10m,2.0,1
10m,2.5,0
10m,3.0,8
10m,3.5,19
10m,4.0,76
10m,4.5,84
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,1
50m,3.5,2
50m,4.0,16
50m,4.5,15
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,2
100m,4.0,16
100m,4.5,9
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,1
500m,4.0,2
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,0
1b,4.0,3
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
