group,variable,value
0,0.0,72
0,0.5,0
0,1.0,0
0,1.5,0
0,2.0,0
0,2.5,1
0,3.0,1
0,3.5,0
0,4.0,0
0,4.5,2
1,0.0,648
1,0.5,0
1,1.0,0
1,1.5,0
1,2.0,0
1,2.5,0
1,3.0,0
1,3.5,0
1,4.0,0
1,4.5,2
5,0.0,891
5,0.5,0
5,1.0,0
5,1.5,0
5,2.0,0
5,2.5,0
5,3.0,0
5,3.5,1
5,4.0,0
5,4.5,8
10,0.0,3896
10,0.5,0
10,1.0,1
10,1.5,0
10,2.0,1
10,2.5,0
10,3.0,1
10,3.5,2
10,4.0,22
10,4.5,398
50,0.0,2361
50,0.5,0
50,1.0,0
50,1.5,0
50,2.0,0
50,2.5,1
50,3.0,1
50,3.5,8
50,4.0,43
50,4.5,507
100,0.0,5749
100,0.5,0
100,1.0,0
100,1.5,9
100,2.0,12
100,2.5,36
100,3.0,65
100,3.5,134
100,4.0,401
100,4.5,2048
500,0.0,1730
500,0.5,0
500,1.0,11
500,1.5,12
500,2.0,43
500,2.5,59
500,3.0,125
500,3.5,248
500,4.0,545
500,4.5,1365
1k,0.0,1354
1k,0.5,0
1k,1.0,15
1k,1.5,65
1k,2.0,150
1k,2.5,289
1k,3.0,685
1k,3.5,1208
1k,4.0,2233
1k,4.5,2780
5k,0.0,129
5k,0.5,0
5k,1.0,5
5k,1.5,20
5k,2.0,56
5k,2.5,150
5k,3.0,279
5k,3.5,624
5k,4.0,1076
5k,4.5,774
10k,0.0,178
10k,0.5,0
10k,1.0,10
10k,1.5,26
10k,2.0,137
10k,2.5,256
10k,3.0,528
10k,3.5,1061
10k,4.0,2087
10k,4.5,1023
50k,0.0,40
50k,0.5,0
50k,1.0,0
50k,1.5,13
50k,2.0,37
50k,2.5,86
50k,3.0,145
50k,3.5,273
50k,4.0,537
50k,4.5,235
100k,0.0,28
100k,0.5,0
100k,1.0,3
100k,1.5,10
100k,2.0,34
100k,2.5,79
100k,3.0,183
100k,3.5,407
100k,4.0,767
100k,4.5,272
500k,0.0,2
500k,0.5,0
500k,1.0,0
500k,1.5,1
500k,2.0,5
500k,2.5,16
500k,3.0,37
500k,3.5,76
500k,4.0,148
500k,4.5,46
1m,0.0,0
1m,0.5,0
1m,1.0,1
1m,1.5,2
1m,2.0,4
1m,2.5,20
1m,3.0,31
1m,3.5,83
1m,4.0,158
1m,4.5,47
5m,0.0,0
5m,0.5,0
5m,1.0,0
5m,1.5,0
5m,2.0,0
5m,2.5,3
5m,3.0,4
5m,3.5,7
5m,4.0,23
5m,4.5,9
10m,0.0,0
10m,0.5,0
10m,1.0,0
10m,1.5,0
10m,2.0,0
10m,2.5,1
10m,3.0,2
10m,3.5,8
10m,4.0,21
10m,4.5,11
50m,0.0,0
50m,0.5,0
50m,1.0,0
50m,1.5,0
50m,2.0,0
50m,2.5,0
50m,3.0,0
50m,3.5,2
50m,4.0,3
50m,4.5,0
100m,0.0,0
100m,0.5,0
100m,1.0,0
100m,1.5,0
100m,2.0,0
100m,2.5,0
100m,3.0,0
100m,3.5,1
100m,4.0,2
100m,4.5,0
500m,0.0,0
500m,0.5,0
500m,1.0,0
500m,1.5,0
500m,2.0,0
500m,2.5,0
500m,3.0,0
500m,3.5,0
500m,4.0,1
500m,4.5,0
1b,0.0,0
1b,0.5,0
1b,1.0,0
1b,1.5,0
1b,2.0,0
1b,2.5,0
1b,3.0,0
1b,3.5,1
1b,4.0,1
1b,4.5,0
5b,0.0,0
5b,0.5,0
5b,1.0,0
5b,1.5,0
5b,2.0,0
5b,2.5,0
5b,3.0,0
5b,3.5,0
5b,4.0,0
5b,4.5,0
10b,0.0,0
10b,0.5,0
10b,1.0,0
10b,1.5,0
10b,2.0,0
10b,2.5,0
10b,3.0,0
10b,3.5,0
10b,4.0,0
10b,4.5,0
